
y	mTm0	 Proton		Deuteron	Pion		Electron
-1.3     0.7875     0.596695 +- 0.0168236      0.382827 +- 0.0195464     0.020478 +- 0.0726008      0  
-1.3     0.8125     0.558499 +- 0.0179844      0.425989 +- 0.0196976     0.0155125 +- 0.0871078      0  
-1.3     0.8375     0.528809 +- 0.0190114      0.455218 +- 0.0199913     0.0159736 +- 0.0891717      0  
-1.3     0.8625     0.655996 +- 0.0192444      0.325599 +- 0.0244394     0.0184046 +- 0.0900995      0  
-1.3     0.8875     0.510253 +- 0.0210815      0.477323 +- 0.0215576     0.0124246 +- 0.110614      0  
-1.3     0.9125     0.630651 +- 0.0209027      0.357643 +- 0.0253271     0.0117064 +- 0.120846      0  
-1.3     0.9375     0.547597 +- 0.0223489      0.44118 +- 0.0240275     0.0112224 +- 0.126194      0  
-1.3     0.9625     0.579067 +- 0.023334      0.411381 +- 0.0261729     0.00955199 +- 0.145268      0  
-1.3     0.9875     0.543185 +- 0.024984      0.447575 +- 0.0266572     0.00924031 +- 0.154911      0  
-1.2     0.0875     0.606447 +- 0.103083      0.00373548 +- 1.03821     0.254455 +- 0.140628      0.135362 +- 0.183429
-1.2     0.1125     0.479657 +- 0.0203417      0.000752524 +- 0.422352     0.498342 +- 0.0200823      0.0212487 +- 0.0802918
-1.2     0.1375     0.5459 +- 0.00903207      0.000849065 +- 0.184275     0.438827 +- 0.00971875      0.0144241 +- 0.0450109
-1.2     0.1625     0.613348 +- 0.00691278      0.000941017 +- 0.139011     0.376353 +- 0.00815097      0.00935805 +- 0.0442662
-1.2     0.1875     0.660985 +- 0.00653517      0.000702611 +- 0.155584     0.334348 +- 0.00823579      0.00396453 +- 0.0656044
-1.2     0.2125     0.702262 +- 0.00647115      0.000792177 +- 0.147733     0.295537 +- 0.00870235      0.00140879 +- 0.110816
-1.2     0.2375     0.729016 +- 0.00655099      0.000519531 +- 0.186674     0.269777 +- 0.00922862      0.000687351 +- 0.162306
-1.2     0.2625     0.764095 +- 0.00662323      0.000486974 +- 0.197576     0.235341 +- 0.0099868      7.69334e-05 +- 0.496983
-1.2     0.2875     0.788107 +- 0.0067392      0.000398707 +- 0.224111     0.211457 +- 0.0107089      3.72489e-05 +- 0.733087
-1.2     0.3125     0.816767 +- 0.00689138      0.000373882 +- 0.239012     0.182848 +- 0.0117524      1.15265e-05 +- 1.361
-1.2     0.3375     0.839087 +- 0.00700713      0.000327177 +- 0.261711     0.160586 +- 0.0127241      0  
-1.2     0.3625     0.855834 +- 0.0072508      0.000450243 +- 0.232106     0.143715 +- 0.0138905      0  
-1.2     0.3875     0.870263 +- 0.00743551      0.000529562 +- 0.220466     0.129207 +- 0.0149944      0  
-1.2     0.4125     0.888412 +- 0.00773805      0.000631866 +- 0.21121     0.110956 +- 0.0167943      0  
-1.2     0.4375     0.89587 +- 0.00804781      0.00112882 +- 0.164751     0.103002 +- 0.0181035      0  
-1.2     0.4625     0.90792 +- 0.00842016      0.00212495 +- 0.126139     0.0899552 +- 0.0202188      0  
-1.2     0.4875     0.916328 +- 0.00876681      0.00246717 +- 0.122199     0.0812052 +- 0.0221205      0  
-1.2     0.5125     0.923324 +- 0.00912461      0.00469684 +- 0.0924655     0.0719788 +- 0.0243981      0  
-1.2     0.5375     0.930072 +- 0.00953019      0.00602745 +- 0.0854695     0.0639007 +- 0.0269942      0  
-1.2     0.5625     0.936129 +- 0.00995248      0.00716778 +- 0.0820334     0.056703 +- 0.0298748      0  
-1.2     0.5875     0.934046 +- 0.0104467      0.0148014 +- 0.0601132     0.0511525 +- 0.0329102      0  
-1.2     0.6125     0.930967 +- 0.0110916      0.0208603 +- 0.0538762     0.0481724 +- 0.0359245      0  
-1.2     0.6375     0.926506 +- 0.0116113      0.0314123 +- 0.0461407     0.0420816 +- 0.0400703      0  
-1.2     0.6625     0.923246 +- 0.0123501      0.0390884 +- 0.0441178     0.0376653 +- 0.0449128      0  
-1.2     0.6875     0.916261 +- 0.0128371      0.0519367 +- 0.0399491     0.0318023 +- 0.0505613      0  
